category_title,name,image,color,price,description
Tumbler,ZUS All Day Cup 500ml (17oz) - Aqua Collection,https://shop.zuscoffee.com/cdn/shop/files/91_6a51f7de-3742-4f45-8abe-48c7b460d044.png?v=1749025888&width=1080,"Misty Blue, Ocean Breeze, Blue Lagoon, Deep Sea",79.0,"When you’re the life of the party, you’ll find yourself gravitating towards experiences that can be shared with others. You’re like the endless water: expansive, an adventure waiting to unfold. You’re never in one place when there’s a whole world out there. Bold, playful, and a thrill-seeker, you’re best known by the Aqua colourways you carry.

If you can relate to the collection, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours."
Tumbler,ZUS All Day Cup 500ml (17oz) - Mountain Collection,https://shop.zuscoffee.com/cdn/shop/files/83_4085e3e3-fed9-401f-bb8b-f8b965244d0a.png?v=1749027141&width=1080,"Soft Fern, Pine Green, Terrain Green, Forest Green",79.0,"Maybe quietude and constancy are your mottos, or you feel at home amongst the fresh, clean air of higher altitudes. As steadfast as the tall trees, you’ve got a grounded confidence about you that speaks of surety, of someone who knows what they want and moves to achieve it. Strategic, mature, and observant, you’re best defined by the Mountain colourways.

If you can relate to the collection, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours."
Tumbler,[Corak Malaysia] Tiga Sekawan Bundle,https://shop.zuscoffee.com/cdn/shop/files/56_c560d111-848b-4440-94af-87da85029dc8.png?v=1746785838&width=1080,,133.9,"Show your appreciation of our local arts with the Tiga Sekawan bundle in three variations, inspired by the vibrant culture and history of our country’s thirteen states.

This bundle features:

Corak Malaysia All Day Cup: Our All Day Cups now feature unique designs inspired by our cultural arts, embodying the heart of our country with a special ZUS twist on each variation.

Corak Malaysia Cup Sleeve: This sleeve is a beautiful combination of culture and function. Made from soft and durable synthetic leather with an adjustable strap that can adapt to various cup sizes, along with an interchangeable nylon string to hand-carry or wear crossbody. 

Corak Malaysia Reusable Straw Kit: Sustainable, compact, and designed to be easy to carry. This kit contains a food-grade stainless steel straw with a soft silicone tip to protect your lips and teeth, as well as a brush to keep the straw clean."
Tumbler,[Kopi Patah Hati] ZUS Frozee Cold Cup 650ml (22oz),https://shop.zuscoffee.com/cdn/shop/files/1_3.png?v=1737521953&width=1000,"Sabrina Pink, Olivia Purple",44.0,"Whether you're crying over lowkey unloved or celebrating your bounce back era, the Kopi Patah Hati Frozee Cold Cup is your emotional support cup. Heartbreak tears or glow-up cheers, staying effortlessly hydrated is always a win. Now available in Sabrina Pink and Olivia Purple."
Tumbler,ZUS OG CUP 2.0 With Screw-On Lid 500ml (17oz),https://shop.zuscoffee.com/cdn/shop/files/10_af559e6a-677e-40eb-ae59-378af4f12425.png?v=1724744850&width=1080,"Thunder Blue, Space Black, Lucky Pink",55.0,"Our best-selling drinkware now comes with a twist. Experience OG Cup 2.0 with a Screw-On Lid for the ultimate leak-proof cup that comes with ceramic interior that preserves flavours better, allowing you to taste every note in your daily brew. Have a true ZUS Coffee experience—now embodied in our OG colours. Available in – ⚡️Thunder Blue ⚡️Space Black ⚡️Lucky Pink"
Tumbler,ZUS All-Can Tumbler 600ml (20oz),https://shop.zuscoffee.com/cdn/shop/files/17_edfa40ee-a548-49be-a992-c0dd53de0357.png?v=1724745034&width=1080,"Thunder Blue, Stainless Steel",105.0,"Dive into any sip-tuation with the all-new ZUS All-Can Tumbler, now more versatile than ever in Thunder Blue and Stainless Steel.

Featuring interchangeable lids, use the “Screw On” lid for your hot Americano at work in the morning, and the “Flip Top” lid for easy hydration at the gym in the evening.

Whether you’re trapped in a jungle or an office, All-Can is with you through it all."
Tumbler,ZUS All Day Cup 500ml (17oz),https://shop.zuscoffee.com/cdn/shop/files/2_b7284ad4-1538-4a5d-9bd1-b76bb6c108c5.png?v=1724745300&width=1080,"Creamy Beige, Cherry Blossom, Fresh Mint, Fuzz Peach, Blue Wave",71.0,"Refreshed colours for your refreshments.

Ready to paint the way you drink with splashes of colours to your all-day routine of sipping on quality brew? Experience effortless style with endless combinations of our All Day Cup - now in extended colours. Choose what screams you and accessorise with the ideal drinking accessory.

Available in –
⚡️Creamy Beige
⚡️Fresh Mint
⚡️Blue Wave
⚡️Fuzz Peach
⚡️Cherry Blossom

It’s best for hot or iced – this one’s for All Day, everyday.
Trust us, your current tumbler will seem boring after this."
Tumbler,ZUS Frozee Cold Cup 650ml (22oz),https://shop.zuscoffee.com/cdn/shop/files/13_cdab3646-e1c7-4856-9ce6-d4f93a5c71d8.png?v=1724746066&width=1080,"Frost White, Frost Pink, Frost Green, Frost Peach",55.0,"Same great tumbler, fresh new colours.

Brrr, feeling cold? Embrace the chill with Frozee Cold Cup that now comes in fresh new colour options! Because don’t we love having options? It’s our most loved icy drink companion and pssst, it’s the best tumbler for frappe-lovers.

Available in –
⚡️Frost White
⚡️Frost Pink
⚡️Frost Green
⚡️Frost Peach"
Tumbler,ZUS All Day Cup 500ml (17oz) - Sundaze Collection,https://shop.zuscoffee.com/cdn/shop/files/32_1a32d8a2-e8c7-4f0f-a236-dd549f2b71ba.png?v=1730622751&width=1080,"Seashell, Sand Castle, Tideline",71.0,"Sundaze Collection: Embrace the Sunny Beach Days

Bring the serene beauty of sunkissed shades into your everyday routine with the All Day Cup - Sundaze Collection. Inspired by breezy shores and warm golden sands, each cup captures the relaxed vibes of endless beach days.
Choose from:
🏖️ Tideline
🐚 Seashell
🏰 Sand Castle

Whether you're soaking up the sun or dreaming of the waves, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours. Let the Sundaze Collection effortlessly lift up your style and vibes wherever you go."
Tumbler,ZUS OG Ceramic Mug (16oz),https://shop.zuscoffee.com/cdn/shop/files/2_ade9cdc4-083d-4e9c-bff5-dd6231da2ca1.png?v=1728147514&width=1080,"Thunder Blue, Cloud White, Space Black",39.0,"Designed for your cozy moments, our high-quality ceramic mug blends style and practicality effortlessly with an ergonomic handle that makes every sip a comfortable experience.
Who said sipping from a mug couldn't be stylish? Now available in 3 of your favourite colours: Thunder Blue, Space Black, and Cloud White."
Tumbler,ZUS Stainless Steel Mug (14oz),https://shop.zuscoffee.com/cdn/shop/files/396.png?v=1738069660&width=1080,"Starry Black, Pine Beige, Mossy Green",41.3,"Coffee smells better outdoors. Does it? I guess it's time to find out! Made for those who cherish the outdoors or simply just prefer sipping their coffee through a mug. Made from durable 304 stainless steel, features double-wall vacuum insulation to keep your drinks hot or cold up to 5 hours.No matter where your journey takes you—whether it’s a roadside coffee break to ""heal"" or a moment in the mountains surrounded by good company—we’re more than just a mug for great coffee. We’re the small comfort you can always count on, wherever the road may lead."
Accessories,ZUS Reusable Straw Kit - 1's,https://shop.zuscoffee.com/cdn/shop/files/351.png?v=1734684906&width=1080,"Space Black, Thunder Blue, Lucky Pink",15.9,"Bye-bye single-use straws and hello to sustainable style with the ZUS Reusable Straw Kit! Compact, collapsible, and designed with a carabiner clip, it’s easy to carry wherever you go. Made from food-grade stainless steel with a soft silicone tip to protect your lips and teeth, it’s safe, durable, and simple to clean with the included brush.

Whether at home or on the move, the ZUS Reusable Straw Kit keeps every sip convenient and hassle-free."
Accessories,ZUS® Buddy Reusable Straw Set - Full Set,https://shop.zuscoffee.com/cdn/shop/files/FINAL_DONE_Shopify-ProductListingCover_34.png?v=1743070525&width=1080,,39.0,"A FUNctional & collectible drinkware accessory to add a cutesy flair to your daily sips!

Share them with your friends so you can match as a squad, or keep all 6 characters for yourself to switch up your vibe.

Each full set includes
- 6 ZUS Buddy Silicone Straw Caps
- 6 Reusable Straws
- 6 Straw Brushes

PS: Until you open the box, you won’t know which character you’re getting — and no, you can’t shake to guess! Like a box of chocolates, each box is a sweet little surprise. Sip sustainably and playfully with a ZUS Buddy!"
Accessories,ZUS OG Cup 2.0 - 500ml (17oz) - Spare Part - Lid,https://shop.zuscoffee.com/cdn/shop/files/FINAL_DONE_Shopify_-_Product_Listing_Cover_38_42e6eba5-4516-4701-927e-1e4acc06cd9d.png?v=1744873705&width=1080,,25.0,"Lost or damaged your ZUS OG Cup 2.0 lid? Restore its full functionality with a brand-new lid replacement.

Featuring both a straw hole and a sip opening so that you can drink your way, anytime!"
Accessories,ZUS Reusable Straw Kit - Corak Malaysia Collection,https://shop.zuscoffee.com/cdn/shop/files/62_b565f01c-8f6a-487c-bb5f-241958f9b7ff.png?v=1746778301&width=1080,,15.9,"Bye-bye single-use straws and hello to sustainable style with the ZUS Reusable Straw Kit! Compact, collapsible, and designed with a carabiner clip, it’s easy to carry wherever you go. Made from food-grade stainless steel with a soft silicone tip to protect your lips and teeth, it’s safe, durable, and simple to clean with the included brush.

Whether at home or on the move, the ZUS Reusable Straw Kit keeps every sip convenient and hassle-free.

Celebrate local heritage with three stunning new Corak Malaysia designs—available now."
Accessories,ZUS All Day Cup 500ml (17oz) - Accessories - Lid,https://shop.zuscoffee.com/cdn/shop/files/22_e0bf04c5-f356-413b-b5b5-240f769bb4d9.png?v=1724747240&width=1080,"Cherry Blossom, Blue Wave, Fresh Mint, Thunder Blue Day, Thunder Blue Night, Seashell, Tideline, Sand Castle, Misty Blue, Ocean Breeze, Blue Lagoon, Deep Sea, Soft Fern, Pine Green, Terrain Green, Forest Green",25.0,"This isn’t just a spare part.
Have a new tumbler every day with different tops for your favorite bottom! You asked for it, and we heard you loud and clear. Versatile your hydration today!"
